Symbol,Sector
A000020,제약_및_바이오
A000030,
A000040,자동차_및_부품
A000050,내구_소비재_및_의류
A000060,보험
A000070,소재
A000080,음식료_및_담배
A000100,제약_및_바이오
A000120,운송
A000140,음식료_및_담배
A000150,자본재
A000180,소재
A000210,자본재
A000220,제약_및_바이오
A000230,제약_및_바이오
A000240,자동차_및_부품
A000250,제약_및_바이오
A000270,자동차_및_부품
A000300,자동차_및_부품
A000320,자본재
A000370,보험
A000390,자본재
A000400,보험
A000430,자동차_및_부품
A000440,에너지
A000480,소재
A000490,자본재
A000500,자본재
A000520,제약_및_바이오
A000540,보험
A000590,소재
A000640,제약_및_바이오
A000650,운송
A000660,반도체
A000670,하드웨어
A000680,유통
A000700,운송
A000720,자본재
A000760,소재
A000810,보험
A000850,자본재
A000860,자본재
A000880,자본재
A000890,음식료_및_담배
A000910,소재
A000950,내구_소비재_및_의류
A000970,소재
A000990,반도체
A001000,통신서비스
A001020,소재
A001040,운송
A001060,제약_및_바이오
A001070,내구_소비재_및_의류
A001080,소재
A001120,자본재
A001130,음식료_및_담배
A001140,운송
A001200,증권
A001210,디스플레이
A001230,소재
A001250,자본재
A001260,자본재
A001270,증권
A001290,증권
A001340,소재
A001360,제약_및_바이오
A001380,자동차_및_부품
A001390,소프트웨어
A001420,자동차_및_부품
A001430,소재
A001440,자본재
A001450,보험
A001460,내구_소비재_및_의류
A001470,자본재
A001500,증권
A001510,증권
A001520,소재
A001530,내구_소비재_및_의류
A001540,제약_및_바이오
A001550,소재
A001560,소재
A001570,소재
A001620,자동차_및_부품
A001630,제약_및_바이오
A001680,음식료_및_담배
A001720,증권
A001740,자본재
A001750,증권
A001770,소재
A001780,소재
A001790,음식료_및_담배
A001800,음식료_및_담배
A001810,소재
A001820,자본재
A001840,자본재
A001880,자본재
A001940,소재
A002000,
A002020,자본재
A002030,소재
A002070,내구_소비재_및_의류
A002100,소재
A002140,음식료_및_담배
A002150,자본재
A002170,내구_소비재_및_의류
A002200,소재
A002210,제약_및_바이오
A002220,소재
A002230,자본재
A002240,소재
A002250,
A002270,음식료_및_담배
