지점,일시,기온,강수량,풍속,습도,일조시간,적설량,지면온도,지중온도
108,2020-01-01 1:00,-5.9,,1.7,40,,,-2.4,3.2
108,2020-01-01 2:00,-5.7,,0.1,42,,,-2.4,3.1
108,2020-01-01 3:00,-5.6,0,0,46,,,-2.7,3.1
108,2020-01-01 4:00,-5.4,,0,50,,,-2.5,3
108,2020-01-01 5:00,-5.2,,0,55,,,-2.2,3
108,2020-01-01 6:00,-4.8,0,1.9,58,,,-2.1,2.9
108,2020-01-01 7:00,-4.6,,2.1,62,,,-2,3
108,2020-01-01 8:00,-4.6,,1.8,64,0,,-1.9,3
108,2020-01-01 9:00,-4.3,0,2.3,70,0,,-1.6,2.9
108,2020-01-01 10:00,-4.2,,1.9,76,0,,-1.1,2.9
108,2020-01-01 11:00,-3.4,,1.5,75,0,0,-0.4,2.9
108,2020-01-01 12:00,-2.2,0.1,1.7,72,0.5,,-0.1,2.8
108,2020-01-01 13:00,-1,,1.6,67,0,,0.4,2.8
108,2020-01-01 14:00,-0.4,,1.2,65,0,,0.4,2.8
108,2020-01-01 15:00,0.3,,0,62,0.3,,0.8,2.8
108,2020-01-01 16:00,0.3,,0,64,0,,0.1,2.7
108,2020-01-01 17:00,0.2,,0.9,65,0,,-0.2,2.7
108,2020-01-01 18:00,0.1,,0.8,66,0,,-0.1,2.7
108,2020-01-01 19:00,0.1,,0.3,65,,,-0.1,2.7
108,2020-01-01 20:00,0,,1.7,67,,,-0.1,2.7
108,2020-01-01 21:00,-0.4,,2.5,71,,,-0.3,2.6
108,2020-01-01 22:00,-0.9,,1.5,71,,,-0.3,2.7
108,2020-01-01 23:00,-0.9,,1,70,,,-0.3,2.7
108,2020-01-02 0:00,-0.7,,2.1,70,,,-0.4,2.7
108,2020-01-02 1:00,-0.7,,2.2,72,,,-0.3,2.6
108,2020-01-02 2:00,-0.6,,2.2,70,,,-0.4,2.7
108,2020-01-02 3:00,-0.6,,2.3,70,,,-0.4,2.6
108,2020-01-02 4:00,-0.7,,2.1,70,,,-0.4,2.7
108,2020-01-02 5:00,-0.5,,1.5,67,,,-0.5,2.6
108,2020-01-02 6:00,-0.6,,1.7,69,,,-0.5,2.6
108,2020-01-02 7:00,-0.5,,1.9,65,,,-0.6,2.6
108,2020-01-02 8:00,-0.4,,2.3,67,0,,-0.6,2.6
108,2020-01-02 9:00,-0.1,,2.4,67,0,,-0.3,2.6
108,2020-01-02 10:00,0.7,,2,62,0,,-0.2,2.6
108,2020-01-02 11:00,1.7,,2,57,0,,0,2.6
108,2020-01-02 12:00,2.5,,1,56,0,,0.9,2.6
108,2020-01-02 13:00,3.4,,1.8,56,0,,1.7,2.6
108,2020-01-02 14:00,3.7,,2.3,58,0,,1.3,2.6
108,2020-01-02 15:00,3.8,,2.8,58,0,,1.5,2.6
108,2020-01-02 16:00,3.7,,2.5,58,0,,1,2.6
108,2020-01-02 17:00,3.3,,3.1,62,0,,0.5,2.6
108,2020-01-02 18:00,2.7,,2.2,61,0,,-0.7,2.6
108,2020-01-02 19:00,2,,2,64,,,-0.1,2.7
108,2020-01-02 20:00,1.2,,0.7,66,,,-0.3,2.6
108,2020-01-02 21:00,0.5,,0.9,68,,,-0.4,2.7
108,2020-01-02 22:00,0.3,,0.4,70,,,-0.5,2.7
